date,5days,6days,gakuennso,tokyo
2016/4/23/(土),36900,40900,9100,9100
2016/4/24/(日),36900,40900,8100,9100
2016/4/25/(月),36900,40900,8100,9100
2016/4/26/(火),35900,39900,8100,9100
2016/4/27/(水),35900,39900,8100,9100
2016/4/28/(木),37900,41900,8100,9100
2016/4/29/(金),37900,41900,8100,9100
2016/4/30/(土),37900,41900,9100,9100
2016/5/1/(日),37900,41900,9100,9100
2016/5/2/(月),37900,41900,9100,9100
2016/5/3/(火),37900,41900,9100,9100
2016/5/4/(水),37900,41900,9100,9100
2016/5/5/(木),37900,41900,9100,9100
2016/5/6/(金),36900,40900,9100,9100
2016/5/7/(土),36900,40900,9100,9100
2016/5/8/(日),36900,40900,8100,9100
